"","lead","non","year"
"662","11189-44","42284-62",2018
"663","11189-44","50980-60",2018
"664","11189-44","56833-03",2018
"665","11189-44","64842-13",2018
"666","155248-48","155248-48",2018
"667","155248-48","178396-66",2018
"668","155248-48","56004-40",2018
"669","11323-45","11323-45",2018
"670","11323-45","53443-09",2018
"671","11323-45","54106-66",2018
"672","11323-45","64182-25",2018
"673","56060-38","42728-77",2018
"674","56060-38","56060-38",2018
"675","108358-57","108358-57",2018
"676","51468-94","108358-57",2018
"677","85634-56","108358-57",2018
"678","108358-57","51468-94",2018
"679","51468-94","51468-94",2018
"680","85634-56","51468-94",2018
"681","108358-57","85634-56",2018
"682","51468-94","85634-56",2018
"683","85634-56","85634-56",2018
"684","52649-11","155590-75",2018
"685","66064-60","155590-75",2018
"686","52649-11","52649-11",2018
"687","66064-60","52649-11",2018
"688","52649-11","66064-60",2018
"689","66064-60","66064-60",2018
"690","91885-24","149610-61",2018
"691","91885-24","53279-74",2018
"692","91885-24","91885-24",2018
"693","11220-22","11121-85",2007
"694","11220-22","11220-22",2007
"695","11220-22","11308-51",2007
"696","11274-04","11274-04",2018
"697","11274-04","122136-40",2018
"698","11274-04","53279-74",2018
"699","224165-17","11183-95",2018
"700","224165-17","224165-17",2018
"701","224165-17","52196-50",2018
"702","152559-64","152559-64",2018
"703","152559-64","155941-84",2018
"704","221760-10","221760-10",2018
"705","221760-10","52984-18",2018
"706","52225-75","52225-75",2018
"707","53992-27","52225-75",2018
"708","54378-64","52225-75",2018
"709","52225-75","53992-27",2018
"710","53992-27","53992-27",2018
"711","54378-64","53992-27",2018
"712","52225-75","54378-64",2018
"713","53992-27","54378-64",2018
"714","54378-64","54378-64",2018
"715","53641-36","53641-36",2017
"716","53641-36","61306-30",2017
"717","148770-82","148770-82",2018
"718","148770-82","56387-35",2018
"719","225845-11","225845-11",2018
"720","225845-11","55383-04",2018
"721","11293-66","10052-20",2018
"722","11293-66","11237-95",2018
"723","11293-66","11293-66",2018
"724","11293-66","11320-66",2018
"725","11293-66","51709-96",2018
"726","11268-55","11268-55",2018
"727","11268-55","51586-39",2018
"728","158760-82","158760-82",2017
"729","61306-30","158760-82",2017
"730","158760-82","61306-30",2017
"731","61306-30","61306-30",2017
"732","53992-27","167212-00",2018
"733","53992-27","169958-17",2018
"734","53992-27","51189-94",2018
"735","53992-27","53992-27",2018
"736","11281-06","11281-06",2018
"737","11281-06","11295-73",2018
"738","11281-06","55612-00",2018
"739","11303-02","11276-65",2006
"740","11303-02","11303-02",2006
"741","42508-00","42508-00",2018
"742","42508-00","56302-03",2018
"743","42508-00","97312-42",2018
"744","41716-90","11191-87",2018
"745","41716-90","115255-36",2018
"746","41716-90","162957-25",2018
"747","41716-90","168094-27",2018
"748","41716-90","180342-01",2018
"749","41716-90","222271-21",2018
"750","41716-90","41716-90",2018
"751","41716-90","51639-76",2018
"752","41716-90","56833-03",2018
"753","41716-90","62803-99",2018
"754","11201-59","11201-59",2018
"755","169351-93","11201-59",2018
"756","11201-59","169351-93",2018
"757","169351-93","169351-93",2018
"758","52858-63","10271-98",2018
"759","52858-63","52858-63",2018
"760","170529-58","170529-58",2018
"761","57225-61","170529-58",2018
"762","170529-58","57225-61",2018
"763","57225-61","57225-61",2018
"764","108240-76","108240-76",2018
"765","178356-25","108240-76",2018
"766","108240-76","178356-25",2018
"767","178356-25","178356-25",2018
"768","11191-87","11191-87",2018
"769","11191-87","154449-46",2018
"770","11191-87","54305-83",2018
"771","11191-87","60942-79",2018
"772","11278-00","11278-00",2007
"773","11278-00","43058-08",2007
"774","53326-54","166518-73",2018
"775","53326-54","53326-54",2018
"776","51094-99","227005-03",2018
"777","51094-99","51094-99",2018
"778","51094-99","51625-09",2018
"779","56833-03","102376-00",2017
"780","56833-03","56833-03",2017
"781","227186-92","225863-56",2018
"782","227186-92","227186-92",2018
"783","11216-26","11216-26",2018
"784","11216-26","53715-43",2018
"785","11201-59","11201-59",2018
"786","11323-45","11201-59",2018
"787","11201-59","11208-16",2018
"788","11323-45","11208-16",2018
"789","11201-59","11253-52",2018
"790","11323-45","11253-52",2018
"791","11201-59","11323-45",2018
"792","11323-45","11323-45",2018
"793","11323-45","11323-45",2018
"794","157710-16","11323-45",2018
"795","11323-45","157710-16",2018
"796","157710-16","157710-16",2018
"797","61456-33","11163-88",2018
"798","61456-33","42360-22",2018
"799","61456-33","53324-02",2018
"800","61456-33","61456-33",2018
"801","11261-89","11133-01",2007
"802","11261-89","11237-50",2007
"803","11261-89","11261-89",2007
"804","11303-02","11303-02",2018
"805","52507-90","11303-02",2018
"806","56078-47","11303-02",2018
"807","11303-02","52507-90",2018
"808","52507-90","52507-90",2018
"809","56078-47","52507-90",2018
"810","11303-02","56078-47",2018
"811","52507-90","56078-47",2018
"812","56078-47","56078-47",2018
"813","11146-33","11146-33",2007
"814","11146-33","40764-07",2007
"815","11146-33","51004-81",2007
"816","11146-33","93383-56",2007
"817","96988-60","11204-20",2014
"818","96988-60","11295-73",2014
"819","96988-60","225863-56",2014
"820","96988-60","51061-60",2014
"821","96988-60","53733-61",2014
"822","96988-60","55778-14",2014
"823","96988-60","96988-60",2014
"824","11174-77","10077-85",2007
"825","11174-77","11166-49",2007
"826","11174-77","11166-58",2007
"827","11174-77","11174-77",2007
"828","11174-77","11191-87",2007
"829","11174-77","25038-19",2007
"830","42240-79","11323-45",2018
"831","42240-79","115187-23",2018
"832","42240-79","166623-67",2018
"833","42240-79","42240-79",2018
"834","42240-79","51639-94",2018
"835","42240-79","62231-95",2018
"836","11319-04","11319-04",2018
"837","11319-04","152499-61",2018
"838","42834-43","187432-21",2018
"839","42834-43","42834-43",2018
"840","10215-73","10215-73",2018
"841","10215-73","60306-49",2018
"842","55523-80","55523-80",2017
"843","55523-80","64991-35",2017
"844","10139-41","10139-41",2018
"845","10139-41","11295-73",2018
"846","11261-89","11261-89",2018
"847","154449-46","11261-89",2018
"848","169641-82","11261-89",2018
"849","11261-89","154449-46",2018
"850","154449-46","154449-46",2018
"851","169641-82","154449-46",2018
