"","lead","non","year"
"60789","11258-56","62389-27",2017
"60790","98634-70","40380-31",2018
"60791","98634-70","98634-70",2018
"60792","10905-04","10905-04",2016
"60793","10905-04","11258-56",2016
"60794","10905-04","89986-06",2016
"60795","55961-83","51044-86",2016
"60796","55961-83","55821-52",2016
"60797","55961-83","55961-83",2016
"60798","57533-41","155247-58",2016
"60799","57533-41","180267-49",2016
"60800","57533-41","57533-41",2016
"60801","11128-06","11128-06",2016
"60802","11128-06","59154-04",2016
"60803","11109-61","11109-61",2016
"60804","11109-61","167007-16",2016
"60805","11109-61","51311-35",2016
"60806","95392-81","11237-50",2016
"60807","95392-81","95392-81",2016
"60808","51041-26","51041-26",2016
"60809","51041-26","82616-05",2016
"60810","56144-62","11331-01",2016
"60811","56144-62","56144-62",2016
"60812","56144-62","56302-03",2016
"60813","10134-73","10134-73",2016
"60814","11251-81","10134-73",2016
"60815","181009-27","10134-73",2016
"60816","10134-73","11251-81",2016
"60817","11251-81","11251-81",2016
"60818","181009-27","11251-81",2016
"60819","10134-73","181009-27",2016
"60820","11251-81","181009-27",2016
"60821","181009-27","181009-27",2016
"60822","62857-81","127263-34",2016
"60823","62857-81","160316-74",2016
"60824","62857-81","62857-81",2016
"60825","111146-41","104637-97",2016
"60826","111146-41","111146-41",2016
"60827","11229-85","11229-85",2016
"60828","11229-85","55261-00",2016
"60829","155859-76","11207-44",2016
"60830","155859-76","155859-76",2016
"60831","155859-76","167035-87",2016
"60832","155859-76","40773-97",2016
"60833","11335-51","11333-26",2016
"60834","11335-51","11335-51",2016
"60835","11335-51","179278-93",2016
"60836","52206-94","51639-94",2015
"60837","52206-94","52206-94",2015
"60838","11274-22","11274-22",2017
"60839","11274-22","166518-73",2017
"60840","11274-22","58012-12",2017
"60841","11274-22","62584-57",2017
"60842","57826-36","57826-36",2016
"60843","59264-65","57826-36",2016
"60844","57826-36","59264-65",2016
"60845","59264-65","59264-65",2016
"60846","158931-19","158931-19",2016
"60847","158931-19","59286-07",2016
"60848","11300-32","11300-32",2016
"60849","11300-32","54582-85",2016
"60850","11241-91","11241-91",2016
"60851","11241-91","178896-79",2016
"60852","11241-91","55282-06",2016
"60853","11241-91","58804-66",2016
"60854","11241-91","97587-10",2016
"60855","11327-68","11327-68",2016
"60856","11327-68","167881-96",2016
"60857","53333-02","53333-02",2016
"60858","53333-02","55261-00",2016
"60859","96993-64","55778-14",2016
"60860","96993-64","96993-64",2016
"60861","126152-11","11320-39",2016
"60862","126152-11","126152-11",2016
"60863","126152-11","52688-71",2016
"60864","126152-11","57775-51",2016
"60865","11128-06","11128-06",2016
"60866","11156-77","11128-06",2016
"60867","11128-06","11156-77",2016
"60868","11156-77","11156-77",2016
"60869","58727-44","113995-54",2016
"60870","58727-44","162698-77",2016
"60871","58727-44","53830-54",2016
"60872","58727-44","55436-86",2016
"60873","58727-44","56199-52",2016
"60874","58727-44","57349-27",2016
"60875","58727-44","58727-44",2016
"60876","58727-44","62226-82",2016
"60877","11165-50","11165-50",2016
"60878","11165-50","11278-54",2016
"60879","60239-80","40414-78",2011
"60880","60239-80","60239-80",2011
"60881","57813-31","42308-83",2011
"60882","57813-31","57813-31",2011
"60883","155247-58","10364-77",2016
"60884","155247-58","155247-58",2016
"60885","155247-58","58591-90",2016
"60886","51533-83","51533-83",2016
"60887","53656-12","51533-83",2016
"60888","51533-83","53656-12",2016
"60889","53656-12","53656-12",2016
"60890","51533-83","63638-83",2016
"60891","53656-12","63638-83",2016
"60892","162651-34","162651-34",2016
"60893","61224-94","162651-34",2016
"60894","162651-34","61224-94",2016
"60895","61224-94","61224-94",2016
"60896","51322-24","161715-25",2017
"60897","51322-24","180422-92",2017
"60898","51322-24","51322-24",2017
"60899","120990-43","11300-32",2016
"60900","120990-43","120990-43",2016
"60901","120990-43","87534-82",2016
"60902","11255-50","11255-50",2016
"60903","11255-50","11275-75",2016
"60904","11255-50","60062-32",2016
"60905","11341-90","10411-93",2016
"60906","11341-90","107422-39",2016
"60907","11341-90","11341-90",2016
"60908","11341-90","150066-10",2016
"60909","11318-77","11318-77",2015
"60910","11326-33","11318-77",2015
"60911","11318-77","11326-33",2015
"60912","11326-33","11326-33",2015
"60913","11318-77","151461-19",2015
"60914","11326-33","151461-19",2015
"60915","52272-28","10052-20",2017
"60916","52272-28","40998-25",2017
"60917","52272-28","52272-28",2017
"60918","11193-13","11193-13",2016
"60919","11193-13","11274-04",2016
"60920","11193-13","11296-45",2016
"60921","50996-62","150064-75",2016
"60922","50996-62","50996-62",2016
"60923","11315-62","11189-44",2016
"60924","11315-62","11315-62",2016
"60925","11315-62","181926-82",2016
"60926","11315-62","42202-18",2016
"60927","11315-62","42715-00",2016
"60928","11315-62","48176-38",2016
"60929","11315-62","50980-60",2016
"60930","11315-62","53858-62",2016
"60931","11315-62","61372-27",2016
"60932","56021-59","11251-81",2016
"60933","56021-59","50980-69",2016
"60934","56021-59","56021-59",2016
"60935","41716-90","10133-20",2016
"60936","41716-90","11329-48",2016
"60937","41716-90","168354-82",2016
"60938","41716-90","40764-07",2016
"60939","41716-90","41716-90",2016
"60940","41716-90","51709-96",2016
"60941","41716-90","53443-09",2016
"60942","10357-03","10357-03",2016
"60943","10357-03","107651-71",2016
"60944","11165-23","11165-23",2016
"60945","170053-39","11165-23",2016
"60946","11165-23","170053-39",2016
"60947","170053-39","170053-39",2016
"60948","66064-60","125084-71",2016
"60949","66064-60","153419-41",2016
"60950","66064-60","157278-70",2016
"60951","66064-60","64045-45",2016
"60952","66064-60","66064-60",2016
"60953","54704-62","140394-25",2016
"60954","54704-62","148122-64",2016
"60955","54704-62","163857-07",2016
"60956","54704-62","51253-84",2016
"60957","54704-62","54704-62",2016
"60958","53487-28","10215-73",2016
"60959","53487-28","11184-49",2016
"60960","53487-28","40784-32",2016
"60961","53487-28","42284-62",2016
"60962","53487-28","51639-67",2016
"60963","53487-28","53487-28",2016
"60964","53487-28","53656-12",2016
"60965","53487-28","54346-78",2016
"60966","53487-28","54726-76",2016
"60967","53487-28","54886-96",2016
"60968","53487-28","57349-27",2016
"60969","10123-03","10123-03",2016
"60970","10123-03","51595-21",2016
"60971","10123-03","52507-90",2016
"60972","10123-03","65419-66",2016
"60973","10123-03","97899-13",2016
"60974","10411-93","10411-93",2016
"60975","10411-93","150066-10",2016
"60976","10411-93","161992-72",2016
"60977","51472-63","110390-41",2016
"60978","51472-63","149361-04",2016
"60979","51472-63","170583-04",2016
"60980","51472-63","51001-03",2016
"60981","51472-63","51472-63",2016
"60982","51472-63","54841-42",2016
"60983","51472-63","56752-12",2016
"60984","11296-45","11296-45",2016
"60985","11296-45","51639-76",2016
"60986","10521-46","10521-46",2016
"60987","42240-79","10521-46",2016
"60988","10521-46","11263-15",2016
"60989","42240-79","11263-15",2016
"60990","10521-46","42240-79",2016
"60991","42240-79","42240-79",2016
"60992","54855-64","53487-28",2016
"60993","54855-64","54855-64",2016
"60994","108166-06","108166-06",2016
"60995","51311-35","108166-06",2016
"60996","108166-06","148770-82",2016
"60997","51311-35","148770-82",2016
"60998","108166-06","51311-35",2016
"60999","51311-35","51311-35",2016
"61000","11104-03","11104-03",2016
"61001","11104-03","62513-74",2016
"61002","11104-03","97664-68",2016
"61003","52827-67","11203-21",2016
"61004","52827-67","125262-64",2016
"61005","52827-67","128432-53",2016
"61006","52827-67","179440-93",2016
"61007","52827-67","42360-22",2016
"61008","52827-67","52827-67",2016
"61009","52827-67","56021-59",2016
"61010","11230-93","11230-93",2000
"61011","11230-93","11304-73",2000
"61012","148770-82","148770-82",2016
"61013","148770-82","168793-30",2016
"61014","54603-91","51738-58",2016
"61015","54603-91","54603-91",2016
"61016","97312-42","11318-86",2016
"61017","97312-42","149517-28",2016
"61018","97312-42","97312-42",2016
"61019","52648-93","168749-65",2016
"61020","52648-93","40380-31",2016
"61021","52648-93","52648-93",2016
"61022","162970-66","162970-66",2016
"61023","162971-11","162970-66",2016
"61024","162970-66","162971-11",2016
"61025","162971-11","162971-11",2016
"61026","11146-33","11146-33",2016
"61027","42202-18","11146-33",2016
"61028","11146-33","42202-18",2016
"61029","42202-18","42202-18",2016
"61030","53315-65","52163-20",2016
"61031","53315-65","53315-65",2016
"61032","10364-77","10364-77",2017
"61033","10364-77","11217-61",2017
"61034","10364-77","55649-44",2017
"61035","51566-05","11191-87",2017
"61036","51566-05","112786-30",2017
"61037","51566-05","51566-05",2017
"61038","55346-23","54582-85",2016
"61039","55346-23","55346-23",2016
"61040","42240-79","11251-81",2016
"61041","42240-79","42240-79",2016
"61042","11111-41","11111-41",2016
"61043","11111-41","11141-11",2016
"61044","11333-26","112786-30",2017
"61045","11333-26","11333-26",2017
"61046","112786-30","112786-30",2016
"61047","112786-30","150064-75",2016
"61048","112786-30","157412-62",2016
"61049","112786-30","57309-22",2016
"61050","54378-64","163040-50",2015
"61051","54378-64","54378-64",2015
"61052","11219-05","11219-05",2015
"61053","11219-05","54880-12",2015
"61054","60033-25","125772-85",2016
"61055","60033-25","60033-25",2016
"61056","99197-74","163085-86",2016
"61057","99197-74","99197-74",2016
"61058","97403-59","54611-47",2016
"61059","97403-59","97403-59",2016
"61060","53858-62","126033-49",2016
"61061","53858-62","149720-23",2016
"61062","53858-62","53858-62",2016
"61063","53858-62","61655-59",2016
"61064","55156-33","55156-33",2016
"61065","55156-33","60978-97",2016
"61066","123358-69","123358-69",2016
"61067","123358-69","51700-69",2016
"61068","123358-69","56607-22",2016
"61069","123358-69","98160-76",2016
"61070","105830-38","104637-97",2016
"61071","105830-38","105830-38",2016
"61072","13473-10","11125-00",2016
"61073","13473-10","11263-51",2016
"61074","13473-10","13473-10",2016
"61075","13473-10","55009-81",2016
"61076","13473-10","97123-06",2016
"61077","42957-28","42957-28",2015
"61078","42957-28","91701-10",2015
"61079","53804-17","148770-82",2016
"61080","53804-17","42173-20",2016
"61081","53804-17","53804-17",2016
"61082","113646-97","113646-97",2016
"61083","113646-97","42995-26",2016
"61084","56810-35","54220-69",2016
"61085","56810-35","56810-35",2016
"61086","11281-06","11281-06",2016
"61087","60311-80","11281-06",2016
"61088","11281-06","51001-57",2016
"61089","60311-80","51001-57",2016
"61090","11281-06","60311-80",2016
"61091","60311-80","60311-80",2016
"61092","11189-44","11189-44",2016
"61093","11290-51","11189-44",2016
"61094","11189-44","11290-51",2016
"61095","11290-51","11290-51",2016
"61096","11189-44","42183-19",2016
"61097","11290-51","42183-19",2016
"61098","167489-20","11333-26",2016
"61099","167489-20","167489-20",2016
"61100","167489-20","167913-64",2016
"61101","167489-20","42796-99",2016
"61102","55910-98","55910-98",2016
"61103","55910-98","58977-01",2016
"61104","112786-30","10139-41",2016
"61105","112786-30","112786-30",2016
"61106","112786-30","113035-96",2016
"61107","11166-58","11166-58",2016
"61108","11166-58","149517-28",2016
"61109","11166-58","43003-54",2016
"61110","11166-58","55261-00",2016
"61111","11216-26","11216-26",2016
"61112","11216-26","51702-67",2016
"61113","10364-77","10364-77",2016
"61114","10364-77","11216-98",2016
"61115","10364-77","166172-86",2016
"61116","10364-77","51781-42",2016
"61117","10364-77","52874-92",2016
"61118","10364-77","55346-14",2016
"61119","11316-34","11316-34",2016
"61120","11316-34","57999-43",2016
"61121","11254-42","11254-42",2016
"61122","11254-42","55469-62",2016
"61123","11227-60","111325-87",2016
"61124","11227-60","11227-60",2016
"61125","54094-15","10134-73",2016
"61126","54094-15","49309-12",2016
"61127","54094-15","51491-98",2016
"61128","54094-15","51762-25",2016
"61129","54094-15","54094-15",2016
"61130","54094-15","55984-51",2016
"61131","52360-57","52360-57",2012
"61132","52360-57","55401-58",2012
"61133","63908-56","63908-56",2017
"61134","63908-56","65793-61",2017
"61135","54083-62","11435-05",2016
"61136","54083-62","157664-17",2016
"61137","54083-62","54083-62",2016
"61138","54083-62","60195-52",2016
"61139","54083-62","60195-70",2016
"61140","11251-81","11248-93",2016
"61141","50987-71","11248-93",2016
"61142","53997-76","11248-93",2016
"61143","11251-81","11251-81",2016
"61144","50987-71","11251-81",2016
"61145","53997-76","11251-81",2016
"61146","11251-81","118979-02",2016
"61147","50987-71","118979-02",2016
"61148","53997-76","118979-02",2016
"61149","11251-81","50987-71",2016
"61150","50987-71","50987-71",2016
"61151","53997-76","50987-71",2016
"61152","11251-81","53997-76",2016
"61153","50987-71","53997-76",2016
"61154","53997-76","53997-76",2016
"61155","10135-81","10135-81",2016
"61156","10135-81","162957-25",2016
"61157","10135-81","51327-55",2016
"61158","10135-81","56871-91",2016
"61159","10156-69","10134-73",2016
"61160","10156-69","10156-69",2016
"61161","41716-90","10134-73",2016
"61162","41716-90","11227-60",2016
"61163","41716-90","11303-02",2016
"61164","41716-90","170055-28",2016
"61165","41716-90","41716-90",2016
"61166","41716-90","42173-20",2016
"61167","170053-39","11216-98",2016
"61168","170053-39","170053-39",2016
"61169","170053-39","60630-67",2016
"61170","59051-26","180795-07",2014
"61171","59051-26","59051-26",2014
"61172","56768-23","55123-21",2016
"61173","56768-23","56355-94",2016
"61174","56768-23","56768-23",2016
"61175","56768-23","59903-56",2016
"61176","11251-81","11251-81",2016
"61177","11251-81","42278-77",2016
"61178","163162-54","163162-54",2016
"61179","179175-34","163162-54",2016
"61180","98013-52","163162-54",2016
"61181","163162-54","179175-34",2016
"61182","179175-34","179175-34",2016
"61183","98013-52","179175-34",2016
"61184","163162-54","62658-10",2016
"61185","179175-34","62658-10",2016
"61186","98013-52","62658-10",2016
"61187","163162-54","98013-52",2016
"61188","179175-34","98013-52",2016
"61189","98013-52","98013-52",2016
"61190","11270-53","11270-53",2016
"61191","11270-53","52239-34",2016
"61192","163274-95","108358-57",2016
"61193","163274-95","11127-25",2016
"61194","163274-95","113023-45",2016
"61195","163274-95","121798-63",2016
"61196","163274-95","163273-33",2016
"61197","163274-95","163274-95",2016
"61198","163274-95","222126-94",2016
"61199","163274-95","228285-01",2016
"61200","163274-95","58740-40",2016
"61201","11216-98","11216-98",2016
"61202","11216-98","51595-21",2016
"61203","11216-98","52320-25",2016
"61204","11216-98","65426-41",2016
"61205","11216-98","65426-59",2016
"61206","11251-81","11251-81",2016
"61207","11251-81","11261-89",2016
"61208","11251-81","42183-19",2016
"61209","10905-04","10905-04",2016
"61210","95034-70","10905-04",2016
"61211","10905-04","118778-86",2016
"61212","95034-70","118778-86",2016
"61213","10905-04","95034-70",2016
"61214","95034-70","95034-70",2016
"61215","10905-04","95709-61",2016
"61216","95034-70","95709-61",2016
"61217","11336-32","10133-20",2016
"61218","54880-12","10133-20",2016
"61219","11336-32","11229-85",2016
"61220","54880-12","11229-85",2016
"61221","11336-32","11336-32",2016
"61222","54880-12","11336-32",2016
"61223","11336-32","162501-40",2016
"61224","54880-12","162501-40",2016
"61225","11336-32","52858-63",2016
"61226","54880-12","52858-63",2016
"61227","11336-32","54880-12",2016
"61228","54880-12","54880-12",2016
"61229","11201-59","11201-59",2016
"61230","11201-59","158233-24",2016
"61231","11201-59","51639-94",2016
"61232","53407-63","110765-62",2016
"61233","53407-63","53407-63",2016
"61234","61956-64","10905-04",2016
"61235","61956-64","61956-64",2016
"61236","53601-22","181824-13",2017
"61237","53601-22","53601-22",2017
"61238","11307-34","11307-34",2016
"61239","11307-34","53333-83",2016
"61240","11307-34","56351-53",2016
"61241","11278-54","11125-00",2017
"61242","11278-54","11278-54",2017
"61243","11278-54","153756-91",2017
"61244","11278-54","181596-52",2017
"61245","11263-87","10660-69",2016
"61246","11284-48","10660-69",2016
"61247","55111-78","10660-69",2016
"61248","11263-87","11263-87",2016
"61249","11284-48","11263-87",2016
"61250","55111-78","11263-87",2016
"61251","11263-87","11284-48",2016
"61252","11284-48","11284-48",2016
"61253","55111-78","11284-48",2016
"61254","11263-87","163281-16",2016
"61255","11284-48","163281-16",2016
"61256","55111-78","163281-16",2016
"61257","11263-87","51322-24",2016
"61258","11284-48","51322-24",2016
"61259","55111-78","51322-24",2016
"61260","11263-87","55111-78",2016
"61261","11284-48","55111-78",2016
"61262","55111-78","55111-78",2016
"61263","11263-87","56697-76",2016
"61264","11284-48","56697-76",2016
"61265","55111-78","56697-76",2016
"61266","11263-87","60082-66",2016
"61267","11284-48","60082-66",2016
"61268","55111-78","60082-66",2016
"61269","54704-62","11216-98",2017
"61270","54704-62","52773-04",2017
"61271","54704-62","54704-62",2017
"61272","11263-51","11263-51",2016
"61273","11263-51","51094-99",2016
"61274","11290-51","11290-51",2016
"61275","11290-51","51097-51",2016
"61276","11290-51","52649-11",2016
"61277","54201-61","52589-44",2016
"61278","54201-61","54201-61",2016
"61279","61527-97","61527-97",2016
"61280","61527-97","94124-71",2016
"61281","149720-23","149720-23",2017
"61282","51762-25","149720-23",2017
"61283","62881-93","149720-23",2017
"61284","149720-23","51762-25",2017
"61285","51762-25","51762-25",2017
"61286","62881-93","51762-25",2017
"61287","149720-23","62881-93",2017
"61288","51762-25","62881-93",2017
"61289","62881-93","62881-93",2017
"61290","55879-21","149720-23",2016
"61291","55879-21","162698-77",2016
"61292","55879-21","163273-33",2016
"61293","55879-21","221980-51",2016
"61294","55879-21","222126-94",2016
"61295","55879-21","53858-62",2016
"61296","55879-21","55879-21",2016
"61297","55879-21","58727-44",2016
"61298","55879-21","58855-33",2016
"61299","11321-29","11321-29",2018
"61300","42240-79","11321-29",2018
"61301","11321-29","42240-79",2018
"61302","42240-79","42240-79",2018
"61303","59286-07","10630-27",2016
"61304","59286-07","51089-77",2016
"61305","59286-07","55457-02",2016
"61306","59286-07","59286-07",2016
"61307","61755-22","103873-06",2016
"61308","61755-22","61755-22",2016
"61309","61755-22","61755-31",2016
"61310","11318-77","11201-77",2016
"61311","11318-77","11318-77",2016
"61312","11318-77","11335-42",2016
"61313","11318-77","55876-42",2016
"61314","11258-83","11258-83",2016
"61315","11258-83","52225-66",2016
"61316","11132-20","11132-20",2017
"61317","11151-91","11132-20",2017
"61318","11288-17","11132-20",2017
"61319","11132-20","11151-91",2017
"61320","11151-91","11151-91",2017
"61321","11288-17","11151-91",2017
"61322","11132-20","11288-17",2017
"61323","11151-91","11288-17",2017
"61324","11288-17","11288-17",2017
"61325","58994-74","55803-52",2016
"61326","58994-74","58994-74",2016
"61327","158910-49","11268-82",2016
"61328","158910-49","158334-40",2016
"61329","158910-49","158910-49",2016
"61330","158910-49","41009-86",2016
"61331","158910-49","51263-47",2016
"61332","10135-81","10135-81",2016
"61333","10135-81","53539-93",2016
"61334","163305-37","163305-37",2013
"61335","60187-96","163305-37",2013
"61336","163305-37","60187-96",2013
"61337","60187-96","60187-96",2013
"61338","163040-23","11119-15",2016
"61339","163040-23","163040-23",2016
"61340","163040-23","51586-39",2016
"61341","10156-69","10156-69",2017
"61342","10156-69","11331-91",2017
"61343","10156-69","56144-62",2017
"61344","53656-12","10134-73",2016
"61345","53656-12","163281-16",2016
"61346","53656-12","53656-12",2016
"61347","53656-12","60082-66",2016
"61348","11191-96","11191-96",2016
"61349","11191-96","43014-79",2016
"61350","10560-70","10560-70",2016
"61351","11216-98","10560-70",2016
"61352","10560-70","11216-98",2016
"61353","11216-98","11216-98",2016
"61354","42240-79","11274-04",2016
"61355","42240-79","126391-60",2016
"61356","42240-79","156295-45",2016
"61357","42240-79","40829-14",2016
"61358","42240-79","42240-79",2016
"61359","42240-79","51249-34",2016
"61360","42240-79","51322-24",2016
"61361","42240-79","51768-10",2016
"61362","55646-38","11244-34",2015
"61363","55646-38","53885-26",2015
"61364","55646-38","55646-38",2015
"61365","11216-98","11216-98",2013
"61366","11216-98","148770-82",2013
"61367","53980-21","154632-70",2016
"61368","53980-21","53980-21",2016
"61369","11154-70","11154-70",2016
"61370","11154-70","11274-04",2016
"61371","107958-25","107958-25",2016
"61372","107958-25","53885-26",2016
"61373","163595-53","11199-52",2016
"61374","163595-53","11263-51",2016
"61375","163595-53","14183-74",2016
"61376","163595-53","163595-53",2016
"61377","56252-44","10123-03",2017
"61378","56252-44","107676-19",2017
"61379","56252-44","11154-70",2017
"61380","56252-44","162957-25",2017
"61381","56252-44","170583-04",2017
"61382","56252-44","222564-34",2017
"61383","56252-44","56252-44",2017
"61384","10405-45","10405-45",2016
"61385","10405-45","42520-24",2016
"61386","53967-52","124881-76",2016
"61387","53967-52","53967-52",2016
"61388","53967-52","54912-43",2016
"61389","11320-66","11237-50",2016
"61390","11320-66","11258-38",2016
"61391","11320-66","11320-66",2016
"61392","91701-10","11219-05",2014
"61393","91701-10","11295-73",2014
"61394","91701-10","91701-10",2014
"61395","51061-60","11219-05",2015
"61396","51061-60","11295-73",2015
"61397","51061-60","51061-60",2015
"61398","51061-60","54880-12",2015
"61399","51061-60","91701-10",2015
"61400","55778-14","55778-14",2016
"61401","98430-76","55778-14",2016
"61402","55778-14","98430-76",2016
"61403","98430-76","98430-76",2016
"61404","53279-47","40380-31",2017
"61405","53279-47","53279-47",2017
"61406","125461-09","125461-09",2015
"61407","125461-09","52646-23",2015
"61408","149516-20","149516-20",2016
"61409","149516-20","55961-83",2016
"61410","40764-07","11295-73",2018
"61411","40764-07","40764-07",2018
"61412","40764-07","40995-55",2018
"61413","40764-07","42202-18",2018
"61414","40764-07","61817-68",2018
"61415","11323-45","108358-57",2016
"61416","11323-45","11323-45",2016
"61417","11323-45","48176-38",2016
"61418","11323-45","54841-42",2016
"61419","11323-45","54886-96",2016
"61420","11274-22","11274-22",2017
"61421","11274-22","228097-63",2017
"61422","11274-22","25264-09",2017
"61423","11274-22","58012-12",2017
"61424","57500-11","109318-06",2016
"61425","57500-11","11132-38",2016
"61426","57500-11","11189-44",2016
"61427","57500-11","11201-77",2016
"61428","57500-11","53715-43",2016
"61429","57500-11","57500-11",2016
"61430","11227-60","11227-60",2016
"61431","11227-60","42715-09",2016
"61432","11227-60","54892-09",2016
"61433","11304-28","11304-28",1998
"61434","11304-28","55699-12",1998
"61435","11127-79","11127-79",2000
"61436","11127-79","11304-28",2000
"61437","11127-79","55699-12",2000
"61438","56307-97","123030-10",2016
"61439","56307-97","149389-75",2016
"61440","56307-97","154240-03",2016
"61441","56307-97","157663-45",2016
"61442","56307-97","162578-26",2016
"61443","56307-97","54726-76",2016
"61444","56307-97","56307-97",2016
"61445","11166-58","110878-48",2016
"61446","11166-58","11166-58",2016
"61447","41733-46","10905-04",2017
"61448","41733-46","124929-64",2017
"61449","41733-46","41733-46",2017
"61450","111213-01","111213-01",2016
"61451","111213-01","45704-44",2016
"61452","111213-01","55436-86",2016
"61453","11320-66","11320-66",2016
"61454","11320-66","150512-86",2016
"61455","11320-66","45704-44",2016
"61456","11320-66","50996-62",2016
"61457","53333-83","51020-65",2016
"61458","53333-83","52606-36",2016
"61459","53333-83","53333-83",2016
"61460","53333-83","60676-84",2016
"61461","51625-90","41716-90",2016
"61462","51625-90","51625-90",2016
"61463","149720-23","11335-42",2016
"61464","149720-23","149720-23",2016
"61465","149720-23","52370-29",2016
"61466","149720-23","58373-20",2016
"61467","149720-23","61655-59",2016
"61468","51625-90","109705-15",2016
"61469","51625-90","149720-23",2016
"61470","51625-90","41716-90",2016
"61471","51625-90","51625-90",2016
"61472","11133-01","11133-01",2016
"61473","11133-01","11193-13",2016
"61474","11133-01","50900-41",2016
"61475","10123-03","10123-03",2016
"61476","10123-03","53346-25",2016
"61477","51249-07","51249-07",2016
"61478","54197-38","51249-07",2016
"61479","51249-07","54197-38",2016
"61480","54197-38","54197-38",2016
"61481","11295-73","112076-65",2016
"61482","11295-73","11295-73",2016
"61483","11295-73","56401-21",2016
"61484","11323-45","11323-45",2016
"61485","11323-45","227032-66",2016
"61486","121881-70","121881-70",2016
"61487","121881-70","65912-50",2016
"61488","11229-04","11229-04",2016
"61489","60007-78","11229-04",2016
"61490","11229-04","178356-25",2016
"61491","60007-78","178356-25",2016
"61492","11229-04","54344-62",2016
"61493","60007-78","54344-62",2016
"61494","11229-04","60007-78",2016
"61495","60007-78","60007-78",2016
"61496","11229-04","61514-20",2016
"61497","60007-78","61514-20",2016
"61498","10139-41","10139-41",2016
"61499","56852-47","10139-41",2016
"61500","10139-41","53539-93",2016
"61501","56852-47","53539-93",2016
"61502","10139-41","56852-47",2016
"61503","56852-47","56852-47",2016
"61504","163796-23","103873-06",2016
"61505","163796-23","163796-23",2016
"61506","163796-23","163796-41",2016
"61507","163796-23","59170-24",2016
"61508","163796-95","163796-86",2016
"61509","163796-95","163796-95",2016
"61510","53715-43","11230-93",2016
"61511","53715-43","161348-68",2016
"61512","53715-43","53715-43",2016
"61513","11156-14","10618-12",2016
"61514","11156-14","11156-14",2016
"61515","11156-14","62942-95",2016
"61516","11156-14","93803-95",2016
"61517","11258-83","11189-44",2016
"61518","11258-83","11258-83",2016
"61519","11258-83","11270-53",2016
"61520","11258-83","11307-34",2016
"61521","11258-83","55612-00",2016
"61522","50986-90","105833-35",2016
"61523","50986-90","11196-28",2016
"61524","50986-90","148990-06",2016
"61525","50986-90","149517-28",2016
"61526","50986-90","149677-03",2016
"61527","50986-90","50986-90",2016
"61528","50986-90","51005-53",2016
"61529","50986-90","52775-83",2016
"61530","50986-90","53788-87",2016
"61531","50986-90","55261-00",2016
"61532","50986-90","98741-89",2016
"61533","10618-12","10618-12",2016
"61534","51762-25","10618-12",2016
"61535","10618-12","51762-25",2016
"61536","51762-25","51762-25",2016
"61537","54582-49","54582-49",2017
"61538","54582-49","60480-82",2017
"61539","54582-49","61514-20",2017
"61540","11183-95","11183-95",2016
"61541","155915-47","11183-95",2016
"61542","11183-95","155915-47",2016
"61543","155915-47","155915-47",2016
"61544","11183-95","54377-29",2016
"61545","155915-47","54377-29",2016
"61546","11877-94","11877-94",2016
"61547","11877-94","59938-66",2016
"61548","60340-69","101026-72",2016
"61549","60340-69","60340-69",2016
"61550","97661-89","11281-06",2017
"61551","97661-89","11321-29",2017
"61552","97661-89","53804-17",2017
"61553","97661-89","97661-89",2017
"61554","11291-32","11291-32",2016
"61555","11291-32","14783-59",2016
"61556","103211-47","103211-47",2016
"61557","103211-47","64887-94",2016
"61558","11227-60","11191-96",2016
"61559","11227-60","11227-60",2016
"61560","11227-60","11333-26",2016
"61561","41716-90","11229-85",2016
"61562","41716-90","41716-90",2016
"61563","41716-90","57281-59",2016
"61564","42240-79","107651-71",2016
"61565","42240-79","42240-79",2016
"61566","58373-20","14146-84",2015
"61567","58373-20","58373-20",2015
"61568","11258-83","10139-41",2016
"61569","11258-83","11258-83",2016
"61570","11110-06","11110-06",2016
"61571","11110-06","52202-35",2016
"61572","11110-06","91464-76",2016
"61573","56343-43","56343-43",2016
"61574","56343-43","97639-57",2016
"61575","10123-03","10123-03",2017
"61576","11191-96","10123-03",2017
"61577","40829-14","10123-03",2017
"61578","51595-21","10123-03",2017
"61579","56833-03","10123-03",2017
"61580","10123-03","11191-96",2017
"61581","11191-96","11191-96",2017
"61582","40829-14","11191-96",2017
"61583","51595-21","11191-96",2017
"61584","56833-03","11191-96",2017
"61585","10123-03","222564-34",2017
"61586","11191-96","222564-34",2017
"61587","40829-14","222564-34",2017
"61588","51595-21","222564-34",2017
"61589","56833-03","222564-34",2017
"61590","10123-03","40829-14",2017
"61591","11191-96","40829-14",2017
"61592","40829-14","40829-14",2017
"61593","51595-21","40829-14",2017
"61594","56833-03","40829-14",2017
"61595","10123-03","42284-62",2017
"61596","11191-96","42284-62",2017
"61597","40829-14","42284-62",2017
"61598","51595-21","42284-62",2017
"61599","56833-03","42284-62",2017
"61600","10123-03","50980-69",2017
"61601","11191-96","50980-69",2017
"61602","40829-14","50980-69",2017
"61603","51595-21","50980-69",2017
"61604","56833-03","50980-69",2017
"61605","10123-03","51472-63",2017
"61606","11191-96","51472-63",2017
"61607","40829-14","51472-63",2017
"61608","51595-21","51472-63",2017
"61609","56833-03","51472-63",2017
"61610","10123-03","51595-21",2017
