"","x"
"1298",68549958
"1299",68589756
"1300",68639798
"1301",68689965
"1302",68739580
"1303",68749573
"1304",68839813
"1305",68859681
"1306",68949809
"1307",69069981
"1308",69079841
"1309",69199669
"1310",69279801
"1311",69299705
"1312",69339812
"1313",69349799
"1314",69679944
"1315",69729947
"1316",69779596
"1317",69779822
"1318",69819835
"1319",69919596
"1320",69919763
"1321",69979566
"1322",69999801
"1323",69999981
"1324",70059795
"1325",70069949
"1326",70079719
"1327",70179659
"1328",70179960
"1329",70199899
"1330",70219626
"1331",70239750
"1332",70259878
"1333",70309918
"1334",70319620
"1335",70319955
"1336",70329992
"1337",70429905
"1338",70479956
"1339",70499949
"1340",70579976
"1341",70589698
"1342",70659949
"1343",70759745
"1344",70779661
"1345",70869561
"1346",71069614
"1347",71149962
"1348",71229706
"1349",71239837
"1350",71269983
"1351",71289798
"1352",71409923
"1353",71429848
"1354",71449762
"1355",71469997
"1356",71499894
"1357",71659967
"1358",71679855
"1359",71819885
"1360",71909645
"1361",71969753
"1362",72039961
"1363",72179971
"1364",72209713
"1365",72219861
"1366",72299733
"1367",72369948
"1368",72389843
"1369",72489595
"1370",72609891
"1371",72619999
"1372",72629858
"1373",72739881
"1374",72799724
"1375",72819768
"1376",72859797
"1377",72909835
"1378",72969591
"1379",72999830
"1380",73079911
"1381",73119924
"1382",73129561
"1383",73169658
"1384",73179607
"1385",73229998
"1386",73239634
"1387",73259941
"1388",73369631
"1389",73369971
"1390",73489904
"1391",73519846
"1392",73539998
"1393",73619832
"1394",73619899
"1395",73639835
"1396",73649609
"1397",73789848
"1398",73809932
"1399",73819802
"1400",73829775
"1401",73929893
"1402",73939679
"1403",73979986
"1404",74009662
"1405",74019703
"1406",74029783
"1407",74039561
"1408",74109794
"1409",74199907
"1410",74209744
"1411",74209774
"1412",74219950
"1413",74329710
"1414",74379662
"1415",74469674
"1416",74469884
"1417",74549972
"1418",74609955
"1419",74689758
"1420",74699977
"1421",74719607
"1422",74759921
"1423",74789761
"1424",74839726
"1425",74969808
"1426",75019749
"1427",75079860
"1428",75099730
"1429",75289970
"1430",75309956
"1431",75339815
"1432",75389958
"1433",75429620
"1434",75449828
"1435",75459553
"1436",75539611
"1437",75539779
"1438",75559888
"1439",75589877
"1440",75619592
"1441",75679996
"1442",75689897
"1443",75719781
"1444",75719956
"1445",75729998
"1446",75809949
"1447",75829901
"1448",75899684
"1449",75919735
"1450",75919948
"1451",75929626
"1452",75949785
"1453",76079817
"1454",76089832
"1455",76089937
"1456",76099948
"1457",76209778
"1458",76259877
"1459",76319913
"1460",76369645
"1461",76379976
"1462",76389793
"1463",76429835
"1464",76539923
"1465",76569920
"1466",76579825
"1467",76639812
"1468",76689889
"1469",76849938
"1470",76969682
"1471",77049847
"1472",77129699
"1473",77219895
"1474",77299896
"1475",77329638
"1476",77329948
"1477",77339932
"1478",77429921
"1479",77489811
"1480",77519859
"1481",77549690
"1482",77569814
"1483",77599825
"1484",77629838
"1485",77649704
"1486",77649985
"1487",77679888
"1488",77679983
"1489",77689910
"1490",77779881
"1491",77839753
"1492",77869988
"1493",78059882
"1494",78089592
"1495",78099851
"1496",78129949
"1497",78179922
"1498",78289618
"1499",78329997
"1500",78449658
"1501",78499661
"1502",78519954
"1503",78539992
"1504",78579665
"1505",78609856
"1506",78649847
"1507",78669634
"1508",78789986
"1509",78839724
"1510",78849735
"1511",78869922
"1512",78979941
"1513",79119823
"1514",79139995
"1515",79219977
"1516",79229925
"1517",79419939
"1518",79429967
"1519",79479746
"1520",79519516
"1521",79669589
"1522",79699618
"1523",79719896
"1524",79759574
"1525",79779990
"1526",79819893
"1527",79829813
"1528",79869845
"1529",79999567
"1530",79999693
"1531",80029584
"1532",80029655
"1533",80129666
"1534",80139812
"1535",80139861
"1536",80159622
"1537",80169901
"1538",80199960
"1539",80229754
"1540",80229822
"1541",80269973
"1542",80309883
"1543",80369845
"1544",80389948
"1545",80409921
"1546",80499576
"1547",80509648
"1548",80539703
"1549",80579664
"1550",80579843
"1551",80589961
"1552",80599801
"1553",80689898
"1554",80829596
"1555",80879900
"1556",80919996
"1557",80929750
"1558",80929782
"1559",80979923
"1560",81199915
"1561",81269812
"1562",81309650
"1563",81449643
"1564",81499958
"1565",81529964
"1566",81549832
"1567",81549930
"1568",81619979
"1569",81629853
"1570",81699571
"1571",81719949
"1572",81719972
"1573",81739909
"1574",81779810
"1575",81829906
"1576",81889877
"1577",81899922
"1578",81909565
"1579",81979811
"1580",82109898
"1581",82119724
"1582",82139646
"1583",82189821
"1584",82279945
"1585",82319803
"1586",82459905
"1587",82509637
"1588",82569941
"1589",82589923
"1590",82599806
"1591",82599852
"1592",82629825
"1593",82659863
"1594",82679946
"1595",82709584
"1596",82729739
"1597",82749832
"1598",82799708
"1599",82799808
"1600",82919885
"1601",82949944
"1602",82989879
"1603",82999957
"1604",83019923
"1605",83029872
"1606",83199814
"1607",83209906
"1608",83240000
"1609",83299669
"1610",83379817
"1611",83379895
"1612",83429871
"1613",83519590
"1614",83549802
"1615",83579610
"1616",83599655
"1617",83619969
"1618",83629608
"1619",83639755
"1620",83679955
"1621",83759994
"1622",83829902
"1623",83839615
"1624",83889904
"1625",83979666
"1626",84249964
"1627",84259772
"1628",84289802
"1629",84299911
"1630",84309861
"1631",84319801
"1632",84349853
"1633",84439987
"1634",84489851
"1635",84509815
"1636",84659856
"1637",84759978
"1638",84819833
"1639",84829835
"1640",84839721
"1641",84869745
"1642",84909677
"1643",84919853
"1644",84939831
"1645",84949990
"1646",84969808
"1647",85019945
"1648",85049842
"1649",85069816
"1650",85099835
"1651",85119967
"1652",85259620
"1653",85399739
"1654",85419731
"1655",85599689
"1656",85619808
"1657",85729942
"1658",85739705
"1659",85799746
"1660",85809779
"1661",85949941
"1662",85969899
"1663",85989908
"1664",86069973
"1665",86079996
"1666",86119833
"1667",86219926
"1668",86279955
"1669",86279977
"1670",86379789
"1671",86419949
"1672",86429954
"1673",86449933
"1674",86479677
"1675",86509985
"1676",86579827
"1677",86629822
"1678",86649736
"1679",86779700
"1680",86799874
"1681",86819903
"1682",86949816
"1683",87069911
"1684",87179895
"1685",87299582
"1686",87369829
"1687",87449816
"1688",87469900
"1689",87489615
"1690",87599626
"1691",87619985
"1692",87629985
"1693",87649940
"1694",87669893
"1695",87789937
"1696",87869630
"1697",87929982
"1698",88139830
"1699",88219595
"1700",88329996
"1701",88339788
"1702",88339795
"1703",88439730
"1704",88599990
"1705",88689796
"1706",88699787
"1707",88729895
"1708",88769999
"1709",88819634
"1710",88839718
"1711",88859943
"1712",88899674
"1713",88929747
"1714",88939693
"1715",88959959
"1716",89039775
"1717",89079661
"1718",89089539
"1719",89129663
"1720",89159653
"1721",89179574
"1722",89249557
"1723",89269960
"1724",89289948
"1725",89299629
"1726",89379680
"1727",89399823
"1728",89449594
"1729",89489874
"1730",89499914
"1731",89509969
"1732",89519592
"1733",89519798
"1734",89549896
"1735",89549991
"1736",89609855
"1737",89639877
"1738",89699524
"1739",89709617
"1740",89709714
"1741",89769630
"1742",89789816
"1743",89849952
"1744",89869811
"1745",89989551
"1746",89989770
"1747",90039584
"1748",90119828
"1749",90139923
"1750",90229683
"1751",90379624
"1752",90639982
"1753",90759873
"1754",90829943
"1755",90829981
"1756",90879995
"1757",90909657
"1758",90979833
"1759",90999749
"1760",91009856
"1761",91029748
"1762",91039747
"1763",91109992
"1764",91119979
"1765",91129850
"1766",91139797
"1767",91219877
"1768",91219977
"1769",91319656
"1770",91399816
"1771",91459631
