"week","prod_id","seasonality","holiday","big_holiday","weekly_price","weekly_discount","sales_amount","Email","Flyer","Paid_Search","Store_Display","Web_Display","TV","Radio","base_price","base","due_to_Price","due_to_Promo","due_to_Flyer","due_to_Email","due_to_Web_Display","due_to_Store_Display","due_to_Paid_Search","due_to_TV","due_to_Radio"
2017-02-12,138936952,5516.459184,"0",0,4.29,0,53,0,0,10658,0,0,0.118039752772316,0.0403755568986263,3.99,61.8552160505947,-11.7481607366012,0,0,0,0,0,0.77904403808856,1.68041884640371,0.151581324038916
2017-02-19,138936952,5686.591837,"0",0,4.29,0,69,0,0,29633,0,0,0.108827845291137,0.0340749813626564,3.99,78.5855265187557,-14.9594278354124,0,0,0,0,0,2.74914477436851,1.98318836031486,0.163574490485387
2017-02-26,138936952,5867.561224,"1",0,4.29,1,123,0,1,21665,0,0,0.340334606941618,0.635811657340429,3.99,92.0707190391441,-15.0517833841093,34.0324059534084,0,0,0,0,2.22467381949676,6.87742861007052,3.34602072721204
2017-03-05,138936952,6017.255102,"0",0,4.29,0,83,0,0,45288,0,1e+05,0.317472770935268,0.578923086000721,3.99,84.4954284587577,-16.5001442271306,0,0,0,0,0,4.6939243498289,6.40737717182178,3.08595759903608
2017-03-12,138936952,6209.806122,"0",0,4.29,0,64,0,0,10114,0,2e+05,0.295755628496474,0.521706252383048,3.99,68.7393366640628,-12.9903695882195,0,0,0,0,0,0.831149161463322,4.68360797381117,2.1824960077518
2017-03-19,138936952,6429.489796,"0",0,4.29,0,79,0,0,47634,0,4e+05,0.275186162057131,0.465771948217338,3.99,81.5650929242386,-15.3972134808347,0,0,0,0,0,4.62316473017351,5.2192087950606,2.32966029000458
2017-03-26,138936952,6636.459184,"0",0,4.29,0,123,0,0,8125,0,3e+05,0.255755947125877,0.412383851381423,3.99,134.46088165465,-24.5395672739072,0,0,0,0,0,1.2659518878423,7.70061246597868,3.27556715941612
2017-04-02,138936952,6872.387755,"0",0,4.59,0,55,0,0,1183,0,1e+05,0.237447010192866,0.362441424029575,3.99,74.6108972932024,-25.5568241995974,0,0,0,0,0,0.0902852799995902,3.48029416766104,1.40545225371579
2017-04-09,138936952,7178.938776,"1",0,4.59,0.5,115,0,1,26566,0,0,0.220233545527676,0.316506749948848,3.99,121.406428678274,-36.603596554328,19.5066093025214,0,0,0,0,3.2201576495184,5.21741041991345,1.96544389836416
2017-04-16,138936952,7395.22449,"1",0,4.59,0,51,0,0,1530,0,0,0.204083474617168,0.274855819346932,3.99,67.0001021522388,-19.6807960736026,0,0,0,0,0,0.0950425718025891,2.45774134912453,0.871122853896502
2017-04-23,138936952,7664.795918,"1",0,4.59,0.5,86,0,1,22127,0,0,0.188959841134869,0.23753903227683,3.99,91.9662617680667,-26.4984772529595,14.290438531881,0,0,0,0,1.95870297975117,3.27113724097557,1.07688277805433
2017-04-30,138936952,7919.316327,"1",0,4.59,0.5,124,0,0,28041,0,0,0.174822041327609,0.204440715414292,3.99,132.223106397353,-37.1382276662036,20.2336154877145,0,0,0,0,3.50265050547815,4.27386008053723,1.3080355530347
2017-05-07,138936952,8199.142857,"1",0,4.59,1,105,0,1,13776,0,0,0.47085861507088,0.41315058705133,3.99,92.1943888259782,-22.7996815567088,27.7240549701485,0,0,0,0,1.13220722355529,7.67318405981018,1.74019388964976
2017-05-14,138936952,8516.928571,"0",0,4.59,0,84,0,0,36217,0,0,0.442851604941385,0.363152294114896,3.99,100.785900065509,-31.9351666995103,0,0,0,0,0,3.63523865827062,8.58667562834244,1.87367297812159
2017-05-21,138936952,8811.969388,"0",0,4.59,0,78,0,0,48031,0,0,0.415732442790118,0.317155665960141,3.99,92.7763761414293,-28.7542590766384,0,0,0,0,0,4.36983723002737,7.34557583160783,1.4872688136103
