node,companyid,l4c,l4c_scaled,gender,ethnicity,age_diff,geo_dist,ivyplus,prior_investments_success,complementarity,exec_age,male_exec,nonwhite_exec,ivyplus_exec,year,comp_lon,comp_lat,neighborhood_edges,no_deals_nh,no_deals_5year_nh,company_state
46571-86F,98502-49,436,.96674055,1,1,9,577763.81,0,0,0,0,1,0,0,2014,-122.7278,37.784828,451,27,157,Generating revenue
46571-86F,160613-83,482,1.0663717,1,0,6,539926.5,0,0,0,0,1,0,0,2016,-86.800568,36.133251,452,1,16,Profitable
46573-03F,100867-06,436,.96674055,1,1,18,4139048.8,0,0,1,0,1,0,0,2014,-74.003647,40.709679,451,44,158,Generating revenue
46573-03F,82557-46,503,1.0414078,1,1,19,22761.945,1,0,1,0,1,0,0,2015,-122.39577,37.766529,483,9,86,Startup
46573-03F,98257-42,503,1.0414078,1,.5,18,16476.551,0,0,1,1,1,0,0,2015,-122.39577,37.766529,483,18,172,Generating revenue
46573-03F,169285-24,448,1.1172069,1,1,17,966124.88,0,0,1,4,1,0,0,2017,-111.79449,40.394234,401,18,207,Not profitable
46573-03F,98315-47,448,1.1172069,1,1,21,29541.064,0,0,1,0,1,0,0,2017,-122.25855,37.868576,401,6,69,Startup
46573-03F,172235-17,448,1.1172069,1,0,20,535827.5,.5,0,1,1,1,0,0,2017,-118.408,33.942501,401,12,138,Generating revenue
46573-03F,54083-44,203,.5272727,1,1,6,2828304,0,0,1,2,1,0,0,2013,-87.635384,41.888626,385,62,270,Generating revenue
46573-03F,54895-69,203,.5272727,1,1,8,4168397,0,0,1,0,1,0,0,2013,-73.545059,41.081394,385,93,405,Generating revenue
46573-03F,98502-49,436,.96674055,1,1,9,577763.81,0,0,0,0,1,0,0,2014,-122.7278,37.784828,451,27,157,Generating revenue
46573-03F,160613-83,482,1.0663717,1,0,6,539926.5,0,0,0,0,1,0,0,2016,-86.800568,36.133251,452,1,16,Profitable
46573-84F,100867-06,436,.96674055,1,1,18,4139048.8,0,0,1,0,1,0,0,2014,-74.003647,40.709679,451,44,158,Generating revenue
46573-84F,82557-46,503,1.0414078,1,1,19,22761.945,1,0,1,0,1,0,0,2015,-122.39577,37.766529,483,9,86,Startup
46573-84F,98257-42,503,1.0414078,1,.5,18,16476.551,0,0,1,1,1,0,0,2015,-122.39577,37.766529,483,18,172,Generating revenue
46573-84F,169285-24,448,1.1172069,1,1,17,966124.88,0,0,1,4,1,0,0,2017,-111.79449,40.394234,401,18,207,Not profitable
