q326,q327,q328,q329,q330,q331,q332,q333,q334,q335,q336,q395,q396,q397,q398,q399,q400,q401,q402,q403,q404,q405,q406,q407,q408,F_GT_UGA,F_GT,F_UGA,F_ONLY
5,2,First-person shooters,3,1,1,1,1,0,0,0,Male,35-44,Some college,White,,,,,,,No,No,"$25k-$49,999",30075,1,0,0,0
1,,,,,0,0,0,0,0,0,Male,55-64,Advanced or professional degree,White,,,,,,,Yes,No,$250k or more,,1,0,0,0
3,2,Other,3,3,0,0,0,1,0,0,Male,35-44,Bachelors degree,White,,,,,,,No,Yes,"$75k-$99,999",30101,0,0,1,0
0,,,,0,0,0,0,0,0,0,Male,55-64,Bachelors degree,White,,,,,,,Yes,No,"$150k-$249,999",30269,0,1,0,0
5,0,Role playing game,1,1,1,0,0,1,1,0,Male,45-54,Bachelors degree,White,,,,,,,Yes,Yes,"$150k-$249,999",30338,0,1,0,0
0,,,2,0,0,0,0,0,0,0,Female,45-54,Some college,White,,,,,,,Yes,No,"$150k-$249,999",30152,0,0,0,1
1,1,Racing,5,1,1,0,0,0,0,0,Male,45-54,Bachelors degree,,,,Asian,,,,Yes,No,"$75k-$99,999",30080,1,0,0,0
0,,,1,0,0,0,0,0,0,0,Male,25-34,Bachelors degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30318,0,1,0,0
0,,Other,1,0,0,0,0,0,0,0,Male,45-54,Advanced or professional degree,White,,,Asian,,,,No,No,Less than $25k,30339,1,0,0,0
,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,1,0
3,1,Sports,1,0,0,0,0,0,0,0,Male,25-34,Technical degree,White,,,,,,,Yes,No,"$75k-$99,999",,0,0,1,0
0,,,3,0,0,0,0,0,0,0,Female,45-54,Bachelors degree,White,,,,,,,Yes,No,"$75k-$99,999",30306,1,0,0,0
0,,,,,0,0,0,0,0,0,Male,25-34,Some college,White,,,,,,,No,No,"$25k-$49,999",30120,0,1,0,0
5,0,First-person shooters,,,0,0,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,Other,1,,0,0,0,0,0,0,Female,35-44,Bachelors degree,White,,,,,,,No,Yes,Less than $25k,30248,1,0,0,0
4,1,First-person shooters,5,5,0,0,0,0,1,0,Male,35-44,Technical degree,White,,,,,,,Yes,Yes,"$100k-$149,999",30144,0,0,1,0
0,,Fighting,3,2,0,0,0,1,1,0,Female,25-34,Bachelors degree,,,African American,,,,,No,No,"$50k-$74,999",30339,0,0,0,1
5,1,First-person shooters,3,1,0,1,0,0,0,0,,,,,,,,,,,,,,,0,0,0,1
0,,,1,0,0,0,0,0,0,0,Male,35-44,Advanced or professional degree,White,,,,,,,Yes,Yes,"$75k-$99,999",30263,0,1,0,0
